no,업체명,제품명,주성분,첨가제,허가일,제조/수입,모양,장축,단축,수입제조국,주성분영문
10,지엘파마(주),가네카정,트리프롤리딘염산염수화물/슈도에페드린염산염,"미결정셀룰로오스,유당수화물,포비돈,스테아르산마그네슘,경질무수규산,히드록시프로필셀룰로오스",1986-06-24,제조,원형,7.04,7.04,,Triprolidine Hydrochloride Hydrate/Pseudoephedrine Hydrochloride
11,동성제약(주),가네타인액,L-아르기닌/베타인/베타인염산염/시트르산수화물,"벤조산나트륨,드링크향,백당,수크랄로스,카라멜색소,D-소르비톨액,정제수",2017-02-16,제조,,,,,L-Arginine/Betaine/Betaine Hydrochloride/Citric Acid Hydrate
12,일양약품(주),가네탑골드연질캡슐,밀크시슬열매건조엑스/티아민질산염/피리독신염산염/니코틴산아미드/판토텐산 칼슘/시아노코발라민,"중쇄트리글리세리드,콩기름,레시틴,흑색산화철,에틸바닐린,젤라틴,소르비톨 액(비결정성),카르나우바납,경화유,백납,농글리세린,적색산화철",2008-07-24,제조,타원형,25.0,9.0,,Milk-Thistle Fruit Dried Extract/Thiamine Nitrate/Pyridoxine Hydrochloride/Nicotinamide/Calcium Pantothenate/Cyanocobalamin
13,제이더블유중외제약(주),가네톡액,L-아르기닌/베타인/베타인염산염/시트르산수화물,"말티톨,벤조산나트륨,조합향료(포도향311253) ,수크랄로스,카라멜색소,효소처리스테비아,정제수",2021-03-05,제조,,,,,L-Arginine/Betaine/Betaine Hydrochloride/Citric Acid Hydrate
14,동아제약(주),가넥트액,벤포티아민/리보플라빈포스페이트나트륨/피리독신염산염/니코틴산아미드/우르소데옥시콜산/베타인염산염,"조합향료(에너지드링크항 K-221803),고과당,시트르산,염화나트륨,백당,수크랄로스,조합향료(에너지드링크향 K-221801),시트르산나트륨수화물,시클로덱스트린,정제수",2023-11-29,제조,,,,,Benfotiamine/Riboflavin Sodium Phosphate/Pyridoxine Hydrochloride/Nicotinamide/Ursodeoxycholic Acid/Betaine Hydrochloride
15,삼익제약(주),가두벌크림,디펜히드라민/l-멘톨/디부카인염산염/dl-캄파/에녹솔론,"프로필렌글리콜,파라옥시벤조산프로필,세토스테아릴알코올,폴리소르베이트60,스테아릴알코올,경질유동파라핀,디메티콘,소르비탄스테아레이트,파라옥시벤조산메틸,정제수",2003-07-04,제조,,,,,Diphenhydramine/L-Menthol/Dibucaine Hydrochloride/DL-Camphor/Enoxolone
16,유니메드제약(주),"가딘정75밀리그램

(라니티딘염산염)",라니티딘염산염,"미결정셀룰로오스,오파드라이200핑크(202O640001),스테아르산마그네슘,경질무수규산,카르복시메틸셀룰로오스칼슘,오파드라이화이트 OY-C-7000A",2015-10-20,제조,오각형,9.0,8.0,,Ranitidine Hydrochloride
17,조아제약(주),가레오액(디히드록시디부틸에테르),디히드록시디부틸에테르,"벤조산나트륨,시트르산,D-소르비톨액 70%,정제수",1999-02-05,제조,,,,,Dihydroxydibutyl Ether
18,조아제약(주),가레오연질캡슐(디히드록시디부틸에테르),디히드록시디부틸에테르,"흑색산화철,폴리에틸렌글리콜400,에틸바닐린,젤라틴,산화티탄,산화철,비결정성소르비톨액,농글리세린",1988-07-11,제조,타원형,15.2,9.0,,Dihydroxydibutyl Ether
19,조아제약(주),가레오연질캡슐500밀리그램(디히드록시디부틸에테르),디히드록시디부틸에테르,"흑색산화철,폴리에틸렌글리콜400,에틸바닐린,젤라틴,산화티탄,산화철,비결정성소르비톨액,농글리세린",1988-07-11,제조,장방형,24.0,7.5,,Dihydroxydibutyl Ether
20,(주)태준제약,"가소콜액(시메티콘)(군납용 : 시메티콘현탁액500밀리리터, SimethiconeOralSuspension500ml)",시메티콘,"시트르산수화물,피로아황산나트륨,벤조산나트륨,폴리소르베이트80,아스파탐,잔탄검,바나나 엣센스 에스에치,카르복시메틸셀룰로오스나트륨,D-소르비톨액,스트로우베리후레바#F-S294,소르비탄모노스테아레이트,정제수",1986-11-19,제조,,,,,Simethicone
21,주식회사케이에스제약,가스부틴정100mg(트리메부틴말레산염),트리메부틴말레산염,"유당수화물,이산화규소,스테아르산마그네슘,전분글리콜산나트륨,히드록시프로필셀룰로오스",2019-12-09,제조,원형,8.0,8.0,,Trimebutine Maleate
22,유니메드제약(주),가스앤드액(시메티콘),시메티콘,"피로아황산나트륨,시트르산수화물,벤조산나트륨,폴리소르베이트80,D-소르비톨 액,아스파탐,딸기향(#F-S294),잔탄검,소르비탄모노스테아레이트,정제수",2023-08-18,제조,,,,,Simethicone
23,(주)서흥,가스엑션쓰리연질캡슐(시메티콘)(수출용),시메티콘,"젤라틴,소르비톨액(비결정성),적색40호,농글리세린,청색1호",2017-01-05,제조,,,,,Simethicone
24,(주)서흥,가스엑션연질캡슐(시메티콘)(수출용),시메티콘,"젤라틴,소르비톨액(비결정성),산화티탄,황색203호,농글리세린,청색1호",2016-05-11,제조,,,,,Simethicone
25,(주)서흥,가스엑션투연질캡슐(시메티콘)(수출용),시메티콘,"황색5호,젤라틴,소르비톨액(비결정성),농글리세린",2017-01-05,제조,,,,,Simethicone
26,(주)씨엘팜,가스제로구강필름(시메치콘),시메치콘,"말토덱스트린,히프로멜로오스,폴리에틸렌글리콜400,산화티탄,L-멘톨,전호화전분,적색40호,수크랄로오스",2016-08-09,제조,,,,,Simethicone
27,(주)텔콘알에프제약,가스콘액(시메티콘),시메티콘,"피로아황산나트륨,시트르산수화물,벤조산나트륨,폴리소르베이트80,아스파탐,딸기향(#F-S294),잔탄검,D-소르비톨액,소르비탄모노스테아레이트,정제수",2018-04-04,제조,,,,,Simethicone
28,주식회사제뉴원사이언스,가스큐액(시메티콘),시메티콘,"벤조산나트륨,시트르산수화물,피로아황산나트륨,딸기향 HF-60241,폴리소르베이트80,아스파탐,잔탄검,시트르산나트륨수화물,D-소르비톨액,소르비탄스테아레이트,정제수",2015-04-08,제조,,,,,Simethicone
29,(주)휴온스,가스탁액(시메티콘),시메티콘,"시트르산수화물,피로아황산나트륨,벤조산나트륨,폴리소르베이트80,딸기향(3104145),아스파탐,잔탄검,카르복시메틸셀룰로오스나트륨,D-소르비톨액,소르비탄스테아레이트,정제수",2014-10-31,제조,,,,,Simethicone
30,(주)테라젠이텍스,가스트로겔현탁액(수출용),건조수산화알루미늄겔/건조수산화알루미늄 겔/수산화마그네슘/옥세타자인,"폴리소르베이트80,바나나에센스,히프로멜로오스,D-소르비톨 액,히드록시에틸 셀룰로오스,파라옥시벤조산프로필,백당,스테비온100에스,오렌지에센스(#76-GS),클로르헥시딘아세테이트,레몬에센스,D-소르비톨액 70%,파라옥시벤조산메틸,농글리세린,정제수,에탄올",2014-01-20,제조,,,,,Dried Aluminium Hydroxide Gel/Magnesium Hydroxide/Oxethazaine
31,(주)유유제약,간프로액(L-아스파르트산-L-오르니틴),L-아스파르트산-L-오르니틴,"시트르산수화물,황색5호,파라옥시벤조산프로필,오렌지엣센스#46-FI,잔탄검,파라옥시벤조산메틸,수크랄로오스,D-만니톨,정제수",2018-02-09,제조,,,,,L-Ornithine-L-Aspartate
32,주식회사제뉴원사이언스,갈마겔현탁액(알마게이트),알마게이트,"수산화나트륨,박하향 #37-FN,히드록시에틸 셀룰로오스,백당,한천,D-소르비톨액,클로르헥시딘아세트산염,에탄올,정제수",2009-06-22,제조,,,,,Almagate
33,현대약품(주),갈타제산(베타-갈락토시다제(아스퍼길루스)),베타-갈락토시다제(아스퍼길루스),덱스트린,1976-12-04,제조,,,,,Beta-Galactosidase (Aspergillus)
34,주식회사다나제약,감마덱스액(차아염소산나트륨0.14%),차아염소산나트륨0.14%액,,2019-06-12,제조,,,,,Sodium Hypochlorite Solution 0.14%
35,태극제약(주),감마린디액,피레트린엑스/피페로닐부톡시드,"프로필렌글리콜,시트르산수화물,이미드요소,황색 5호,코카미드디이에이,폴리옥시에틸렌라우릴에테르황산나트륨,폴리소르베이트 80,코카미도프로필베타인,에탄올,정제수",2007-02-15,제조,,,,,Pyrethrin Extract/Piperonyl Butoxide
36,알파제약(주),감마마그빅연질캡슐,γ-오리자놀/피리독신염산염/티아민질산염/산화마그네슘/토코페롤아세테이트,"콩기름,파라옥시벤조산프로필,레시친,젤라틴,산화티탄,적색40호,D-소르비톨액,파라옥시벤조산메틸,바닐린,팜유,농글리세린,청색1호",2015-01-07,제조,타원형,24.8,8.06,,Gamma-Oryzanol/Pyridoxine Hydrochloride/Thiamine Nitrate/Magnesium Oxide/Tocopherol Acetate
37,코스맥스파마(주),감마비골드연질캡슐,토코페롤아세테이트/산화마그네슘/피리독신염산염/티아민질산염/감마오리자놀,"콩기름,레시틴,폴리소르베이트80,황색5호,숙신산젤라틴,산화티탄,황납,적색40호,농글리세린,청색1호",2016-06-24,제조,타원형,23.77,9.11,,Tocopherol Acetate/Magnesium Oxide/Pyridoxine Hydrochloride/Thiamine Nitrate/Gamma-Oryzanol
38,(주)유유제약,감막트연질캡슐(수출용),셀레늄함유건조효모/토코페롤아세테이트/레티놀팔미테이트/아스코르브산,"옥수수기름,디-소르비톨액,파라옥시벤조산프로필,황색4호,혼합초록,젤라틴,산화티탄,적색40호,디메티콘,파라옥시벤조산메틸,백납,농글리세린,청색1호",1990-06-29,제조,,,,,Selenium In Dried Yeast/Tocopherol Acetate/Retinol Palmitate/Ascorbic Acid
39,한솔신약(주),감바로과립,갈근/마황/대추/육계/작약/감초/건강/에텐자미드/클로르페니라민말레산염/노스카핀/카페인무수물,"이상 수침연조엑스,유당수화물,옥수수전분",2000-09-07,제조,,,,,Pueraria Root/Ephedra Herb/Jujube/Cinnamon Bark/Peony Root/Licorice/Ginger/Ethenzamide/Chlorpheniramine Maleate/Noscapine/Anhydrous Caffeine
40,(주)마더스제약,감콜데이나이트정(수출용),슈도에페드린염산염/아세트아미노펜/페닐레프린염산염/클로르페니라민말레산염,"미결정셀룰로오스,폴리에틸렌글리콜6000,산화티탄,포비돈,스테아르산마그네슘,히프로멜로오스 2910,경질무수규산,전분글리콜산나트륨,히드록시프로필셀룰로오스,식약청인정타르색소",2008-11-11,제조,,,,,Pseudoephedrine Hydrochloride/Acetaminophen/Phenylephrine Hydrochloride/Chlorpheniramine Maleate
41,(주)마더스제약,감콜씨플러스캡슐,아세트아미노펜/클로르페니라민말레산염/dl-메틸에페드린염산염/클로페라스틴염산염/카페인무수물/티아민질산염/리보플라빈/아스코르브산,"겔화전분,실리콘디옥사이드,스테아르산마그네슘,크로스카멜로오스나트륨,히드록시프로필셀룰로오스,캡슐",2020-10-12,제조,,,,,Acetaminophen/Chlorpheniramine Maleate/DL-Methylephedrine Hydrochloride/Cloperastine Hydrochloride/Anhydrous Caffeine/Thiamine Nitrate/Riboflavin/Ascorbic Acid
42,(주)마더스제약,감콜캡슐(수출용),카페인무수물/티아민질산염/메타규산알루민산마그네슘/클로르페니라민말레산염/아세트아미노펜/dl-메틸에페드린염산염/덱스트로메토르판브롬화수소산염수화물/길경엑스산(10→1)/감초엑스산(5→1),"유당수화물,스테아르산마그네슘,경질무수규산,캡슐제",2006-05-19,제조,장방형,19.1,6.63,,Anhydrous Caffeine/Thiamine Nitrate/Magnesium Aluminometasilicate/Chlorpheniramine Maleate/Acetaminophen/DL-Methylephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate/Platycodon Root Extract Powder (10→1)/Glycyrrhiza Extract Powder (5→1)
43,(유)옥시레킷벤키저,개비스콘더블액션현탁액,알긴산나트륨/탄산칼슘/탄산수소나트륨,"수산화나트륨,카보머974P,페퍼민트향,파라옥시벤조산프로필,파라옥시벤조산메틸,삭카린 나트륨,정제수",2008-02-11,수입,,,,영국,Sodium Alginate/Calcium Carbonate/Sodium Bicarbonate
44,(유)옥시레킷벤키저,개비스콘페퍼민트현탁액,알긴산나트륨/탄산수소나트륨/탄산칼슘,"수산화나트륨,파라옥시벤조산프로필,민트향,카보머,파라옥시벤조산메틸,삭카린 나트륨,정제수",2006-07-07,수입,,,,영국,Sodium Alginate/Sodium Bicarbonate/Calcium Carbonate
45,(주)유유제약,개비콘큐츄어블정(수출용),건조수산화알루미늄겔/규산마그네슘/스코폴리아엑스,"스테아르산칼슘,버터스카치향,알긴산,압축성백당",2002-11-21,제조,,,,,Dried Aluminium Hydroxide Gel/Magnesium Silicate/Scopolia Extract
46,동아제약(주),거글스프레이(포비돈요오드),포비돈 요오드,"프로필렌글리콜,바닐라후레바,조합향료(허브분말향DA),자일리톨,유칼립톨,효소처리스테비아,요오드화칼륨,에탄올,농글리세린,정제수,l-멘톨",2005-12-23,제조,,,,,Povidone Iodine
47,유니메드제약(주),건아이점안액(폴리소르베이트80)(1회용),폴리소르베이트 80,"수산화나트륨,염화나트륨,시트르산,에데트산나트륨수화물,레티놀팔미테이트,시트르산나트륨수화물,주사용수,D-만니톨",2017-01-11,제조,,,,,Polysorbate 80
48,(주)넥스팜코리아,건위황정,탄산수소나트륨/황백가루,"젤라틴,스테아르산마그네슘,옥수수전분",1970-06-15,제조,원형,9.25,9.25,,Sodium Bicarbonate/Phellodendron Bark Powder
49,건일제약(주),건일이부프로펜연질캡슐400밀리그램,이부프로펜,"폴리소르베이트80,치자청색소,수산화칼륨,부틸히드록시톨루엔,젤라틴,폴리에틸렌글리콜600,포비돈,부분탈수유동소르비톨,정제수,디에틸렌글리콜모노에틸에테르",2023-07-04,제조,,,,,Ibuprofen
50,동아제약(주),검가드프로겔,알란토인/토코페롤아세테이트/글리시리진산이칼륨/카르바조크롬/히노키티올/세틸피리디늄염화물,"미결정납,폴리에틸렌글리콜4000,박하유,사과향(1702436),적색3호(에리트로신),조합향료(천연딸기향12(HF-BA54570)),폴리에틸렌글리콜400,카르복시메틸셀룰로오스,콜로이드성이산화규소,에데트산나트륨수화물,카보머,백색바셀린,유동파라핀,티몰,백납,l-멘톨,조합향료(천연복숭아향4(HF-BA54572))",2019-10-15,제조,,,,,Allantoin/Tocopherol Acetate/Dipotassium Glycyrrhizinate/Carbazochrome/Hinokitiol/Cetylpyridinium Chloride
51,삼남제약(주),게루삼엠정(건조수산화알루미늄겔),건조수산화알루미늄 겔,"스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,옥수수전분",1995-04-24,제조,원형,10.5,10.5,,Dried Aluminium Hydroxide Gel
52,삼남제약(주),게루삼정,건조수산화알루미늄 겔/침강탄산칼슘/탄산마그네슘/탄산수소나트륨,"스테아르산마그네슘,카르복시메틸셀룰로오스칼슘",1964-04-24,제조,원형,11.1,11.1,,Dried Aluminium Hydroxide Gel/Precipitated Calcium Carbonate/Magnesium Carbonate/Sodium Bicarbonate
53,(주)넥스팜코리아,게리동정(수출용),아세트아미노펜/에텐자미드/카페인무수물/클로르페니라민말레산염,"적색40호알루미늄레이크,유당,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,옥수수전분,히드록시프로필셀룰로오스",1966-10-06,제조,삼각형,12.3,12.3,,Acetaminophen/Ethenzamide/Anhydrous Caffeine/Chlorpheniramine Maleate
54,조아제약(주),게리틴연질캡슐(수출용),미스트레토우엑스/하우소른엑스/마늘엑스/티아민질산염/토코페롤아세테이트,"비결정성소르비톨액70%,콩기름,레시틴,식약청인정타르색소(적색40호),식약청인정타르색소(청색1호),에틸바닐린,식약청인정타르색소(황색5호),젤라틴,산화티탄,산화철,황납,야자경화유,농글리세린",1989-03-06,제조,장방형,24.2,8.5,,Mistletoe Extract/Hawthorn Extract/Allium Sativum Extract/Thiamine Nitrate/Tocopherol Acetate
55,삼진제약(주),게보린릴랙스연질캡슐,이부프로펜/산화마그네슘,"콩기름,레시틴,황색5호,수산화칼륨,부틸히드록시톨루엔,숙신산젤라틴,산화티탄,폴리에틸렌글리콜600,소르비톨소르비탄 액,야자경화유,황납,적색40호,정제수",2020-10-23,제조,타원형,21.5,9.8,,Ibuprofen/Magnesium Oxide
56,삼진제약(주),게보린브이정(아세트아미노펜),아세트아미노펜,"저치환도히드록시프로필셀룰로오스,스테아르산,오파드라이흰색(03B28796),크로스카멜로오스나트륨,콜로이드성이산화규소,스테아르산마그네슘,히드록시프로필셀룰로오스",2021-11-16,제조,삼각형,11.3,11.1,,Acetaminophen
57,삼진제약(주),게보린소프트연질캡슐,이부프로펜/파마브롬,"수산화칼륨,부틸히드록시톨루엔,숙신산젤라틴,폴리에틸렌글리콜600,소르비톨소르비탄 액,코치닐추출색소,정제수",2019-12-09,제조,타원형,14.4,8.8,,Ibuprofen/Pamabrom
58,삼진제약(주),게보린에스정(수출용),아세트아미노펜/카페인무수물/제피아스코르브산,"저치환도히드록시프로필셀룰로오스,콜로이드성 이산화규소,스테아르산,크로스포비돈,식약청인정타르색소(적색3호),스테아르산마그네슘,전호화전분",2011-12-22,제조,,,,,Acetaminophen/Anhydrous Caffeine/Ascorbic Acid Coated
59,삼진제약(주),게보린에프정(수출용),이부프로펜/티아민질산염3배산/리보플라빈3배산,"저치환도히드록시프로필셀룰로오스,콜로이드성 이산화규소,규소화미결정셀룰로오스,스테아르산마그네슘,오파그로스 2 클리어(97W19196),오파드라이 흰색(OY-C-7000A),히드록시프로필셀룰로오스,오파드라이 노란색(85F12347)",2012-01-10,제조,,,,,Ibuprofen/Thiamine Nitrate Powder 33.3%/Riboflavin Powder 33.3%
60,삼진제약(주),게보린정(수출명:돌로린정),아세트아미노펜/카페인무수물/이소프로필안티피린,"적색3호,저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,스테아르산마그네슘,실리콘디옥시드,전분글리콜산나트륨,히드록시프로필셀룰로오스",1979-03-15,제조,삼각형,11.2,11.2,,Acetaminophen/Anhydrous Caffeine/Isopropylantipyrine
61,삼진제약(주),게보린쿨다운정,아세트아미노펜/벤포티아민/리보플라빈/제피아스코르브산,"오파드라이 클리어(03K19229),저치환도히드록시프로필셀룰로오스,크로스카르멜로오스나트륨,스테아르산,오파드라이QX녹색(321A610044),콜로이드성이산화규소,스테아르산마그네슘,히드록시프로필셀룰로오스",2020-10-06,제조,삼각형,11.3,11.3,,Acetaminophen/Benfotiamine/Riboflavin/Ascorbic Acid Coated
62,삼진제약(주),게보핏파워플라스타(디클로페낙나트륨),디클로페낙나트륨,"실리코나이즈드폴리에스테르필름,소르비탄올레에이트,고무계점착용액,아크릴계점착용액,에탄올,부직포,l-멘톨",2017-12-21,제조,,,,,Diclofenac Sodium
63,오스틴제약(주),게이트정(알마게이트),알마게이트,"유당수화물,콜로이드성이산화규소,스테아르산마그네슘,전분글리콜산나트륨",2013-11-25,제조,장방형,13.17,8.18,,Almagate
64,삼진제약(주),겔마현탁액,구아야줄렌/디메티콘,"수산화나트륨,레몬엣센스,박하엣센스,카라게난,에데트산나트륨수화물,효소처리스테비아,D-소르비톨액,파라옥시벤조산메틸,정제수",1990-02-24,제조,,,,,Guaiazulene/Dimethicone
65,(주)텔콘알에프제약,겔비스톤현탁액,알긴산나트륨/탄산수소나트륨/침강탄산칼슘,"레몬라임후레바,카보머974P,파라옥시벤조산프로필,파라옥시벤조산메틸,아세설팜칼륨,정제수",2014-02-28,제조,,,,,Sodium Alginate/Sodium Bicarbonate/Precipitated Calcium Carbonate
66,신일제약(주),겔스콘더블액션현탁액,알긴산나트륨/탄산수소나트륨/탄산칼슘,"수산화나트륨,사카린나트륨수화물,스테비올배당체,페퍼민트오일(HR-50069),파라옥시벤조산프로필,효소처리스테비아,카보머934P,D-소르비톨액,파라옥시벤조산메틸,시트러스향 91069,정제수",2014-07-18,제조,,,,,Sodium Alginate/Sodium Bicarbonate/Calcium Carbonate
67,(주)경보제약,겔커버더블액션현탁액,알긴산나트륨/탄산수소나트륨/침강탄산칼슘,"레몬라임후레바,카보머974P,파라옥시벤조산프로필,시트르산,파라옥시벤조산메틸,아세설팜칼륨,정제수",2019-11-12,제조,,,,,Sodium Alginate/Sodium Bicarbonate/Precipitated Calcium Carbonate
68,삼진제약(주),겔투현탁액(알마게이트),알마게이트,"오렌지엣센스,히프로멜로오스,백당,잔탄검,D-소르비톨액,클로르헥시딘아세트산염,디메티콘,정제수",2006-09-11,제조,,,,,Almagate
69,영풍제약(주),겔티-포르테연질캡슐,레티놀팔미테이트/에르고칼시페롤/티아민염산염/리보플라빈/피리독신염산염/시아노코발라민/아스코르브산/토코페롤아세테이트/니코틴산아미드/판토텐산칼슘/콜린타르타르산염/이노시톨/폴산/γ-오리자놀,"적색3호,콩기름,레시틴,황색5호,황색4호(타르트라진),폴리에틸렌글리콜400,파라옥시벤조산프로필,젤라틴,산화티탄,황납,소르비톨액(70%)(비결정성),파라옥시벤조산메틸,팜유,농글리세린,청색1호",2012-03-16,제조,타원형,23.4,8.8,,Retinol Palmitate/Ergocalciferol/Thiamine Hydrochloride/Riboflavin/Pyridoxine Hydrochloride/Cyanocobalamin/Ascorbic Acid/Tocopherol Acetate/Nicotinamide/Calcium Pantothenate/Choline Tartrate/Inositol/Folic Acid/Gamma-Oryzanol
70,(주)보령,겔포스엘현탁액,인산알루미늄겔/수산화마그네슘/시메티콘/DL-카르니틴염산염,"펙틴,황산칼슘,백당,수크랄로스,잔탄검,바나나믹스향B-17026,한천,클로르헥시딘아세트산염,정제수",2017-12-27,제조,,,,,Aluminium Phosphate Gel/Magnesium Hydroxide/Simethicone/DL-Carnitine Hydrochloride
71,(주)보령,겔포스엠현탁액,인산알루미늄겔/수산화마그네슘/시메티콘,"펙틴,오렌지에센스,파라옥시벤조산프로필,황산칼슘,백당,잔탄검,파인애플 후레바(엣센스) 에이-961039,한천,파라옥시벤조산메틸,페파민트 후레바(엣센스) 비-940620,정제수,스트로베리후레바T-6653",1994-07-01,제조,,,,,Aluminium Phosphate Gel/Magnesium Hydroxide/Simethicone
72,(주)보령,겔포스현탁액(인산알루미늄겔),인산알루미늄겔/콜로이드성인산알루미늄,"소르빈산,펙틴,파라옥시벤조산프로필,황산칼슘,백당,잔탄검,한천,파라옥시벤조산메틸,오렌지엣센스(O-8083),정제수",1974-03-15,제조,,,,,Aluminium Phosphate Gel/Colloidal Aluminium Phosphate
73,한국넬슨제약(주),겟투겔(케토프로펜),케토프로펜,"프로필렌글리콜,ㅣ-멘톨,트롤아민,파라옥시벤조산프로필,카르보머934P,파라옥시벤조산메틸,에탄올,정제수",1997-07-05,제조,,,,,Ketoprofen
74,경남제약(주),경남그린웰연질캡슐,토코페롤아세테이트/아스코르브산/β-카로틴현탁액30%/유비데카레논/티아민질산염/리보플라빈/피리독신염산염/산화아연/셀레늄가루 0.1%,"중쇄트리글리세리드,콩기름,레시틴,에틸바닐린,숙신산젤라틴,산화티탄,카르나우바납,적색40호,소르비톨액70%(비결정성),백납,농글리세린,청색1호",2005-11-21,제조,장방형,23.4,8.4,,Tocopherol Acetate/Ascorbic Acid/Beta-Carotene Suspension 30%/Ubidecarenone/Thiamine Nitrate/Riboflavin/Pyridoxine Hydrochloride/Zinc Oxide/Selenium Powder 0.1%
75,경남제약(주),"경남글루코사민캡슐500mg
(결정글루코사민황산염)(수출용)(수출명: Teoramin500capsule)",결정글루코사민황산염,"상부-빨강색캡슐, 하부-백색캡슐,스테아르산마그네슘,옥수수전분",2010-05-17,제조,,,,,Crystallized Glucosamine Sulfate
76,경남제약(주),경남나프록센연질캡슐,나프록센,"폴리소르베이트80,황색5호,수산화칼륨,부틸히드록시톨루엔,젤라틴,폴리에틸렌글리콜600,포비돈,정제수,소르비톨 소르비탄액,청색1호",2014-07-29,제조,타원형,14.9,10.3,,Naproxen
77,경남제약(주),경남데일리디츄어블정,콜레칼시페롤과립/유비데카레논,"스테아르산,레몬향,유당수화물,압축성백당,폴리에틸렌글리콜6000,스테아르산마그네슘",2013-06-20,제조,원형,13.0,13.0,,Cholecalciferol Granules/Ubidecarenone
78,경남제약(주),경남비타민씨정,아스코르브산97%과립,"스테아르산,미결정셀룰로오스,크로스포비돈,스테아르산마그네슘,경질무수규산",2009-06-22,제조,장방형,20.0,8.0,,Ascorbic Acid Granules 97%
